species_name,event_date,grid_lat,grid_lon,activity_count,sst,wind_speed,pressure,precipitation,catch_index,species_id,month,day
Katsuwonus pelamis,2023-01-14,28.0,-97.0,1,26.0,13.6,1026.3,0.0,1.4623742286298311,1,1,14
Katsuwonus pelamis,2023-01-14,28.0,122.0,1,26.0,60.5,1014.4,10.9,1.2606690507305922,1,1,14
Katsuwonus pelamis,2023-02-01,-17.0,-180.0,1,26.0,10.2,1006.7,18.2,1.8625676793709687,1,2,1
Katsuwonus pelamis,2023-02-12,-41.0,175.0,1,26.0,27.2,1008.2,0.1,1.891084707458682,1,2,12
Katsuwonus pelamis,2023-03-02,6.0,81.0,1,26.0,20.3,1013.8,0.1,1.4573447217019244,1,3,2
Katsuwonus pelamis,2023-03-07,6.0,-77.0,1,26.0,8.1,1010.9,32.4,1.2213397406373188,1,3,7
Katsuwonus pelamis,2023-03-08,-23.0,167.0,4,26.0,31.6,1012.9,0.0,5.743370908567037,1,3,8
Katsuwonus pelamis,2023-03-25,-36.0,175.0,1,26.0,16.6,1018.0,0.0,1.7025636111484628,1,3,25
Katsuwonus pelamis,2023-03-25,-22.0,35.0,1,26.0,15.5,1015.6,0.8,1.7474798263743567,1,3,25
Katsuwonus pelamis,2023-03-28,20.0,-156.0,2,26.0,15.3,1014.6,0.0,3.244086821727926,1,3,28
Katsuwonus pelamis,2023-04-06,20.0,-156.0,1,26.0,39.7,1016.6,0.0,1.5485763628960907,1,4,6
Katsuwonus pelamis,2023-04-16,17.0,-88.0,1,26.0,29.5,1012.4,0.0,1.8666687903143422,1,4,16
Katsuwonus pelamis,2023-04-19,19.0,-111.0,1,26.0,24.9,1013.4,0.0,1.7599046046341824,1,4,19
Katsuwonus pelamis,2023-04-24,19.0,-112.0,23,26.0,19.7,1012.5,0.0,44.13898216403971,1,4,24
Katsuwonus pelamis,2023-04-25,19.0,-111.0,1,26.0,21.3,1013.2,0.0,1.820126401337807,1,4,25
Katsuwonus pelamis,2023-05-01,-34.0,26.0,1,26.0,31.8,1014.6,0.0,1.2877727972341808,1,5,1
Katsuwonus pelamis,2023-05-13,20.0,-156.0,1,26.0,17.8,1016.1,0.0,1.8053126176123748,1,5,13
Katsuwonus pelamis,2023-06-28,-17.0,-150.0,1,26.0,35.8,1014.5,0.2,1.2728342765423166,1,6,28
Katsuwonus pelamis,2023-07-11,-43.0,-64.0,4,26.0,22.2,1024.3,0.1,6.19373684745103,1,7,11
Katsuwonus pelamis,2023-07-11,-42.0,-65.0,2,26.0,13.5,1024.6,0.0,2.8183555600374572,1,7,11
Katsuwonus pelamis,2023-07-11,-42.0,-64.0,4,26.0,23.1,1024.2,0.0,5.5557492485395095,1,7,11
Katsuwonus pelamis,2023-07-13,-43.0,-65.0,5,26.0,12.6,1022.1,0.0,6.572636175030376,1,7,13
Katsuwonus pelamis,2023-07-25,22.0,-159.0,1,26.0,33.0,1019.7,0.8,1.266714534134438,1,7,25
Katsuwonus pelamis,2023-08-05,-9.0,119.0,1,26.0,37.6,1014.9,0.2,1.3934872443563462,1,8,5
Katsuwonus pelamis,2023-08-15,18.0,120.0,1,26.0,22.0,1009.1,1.9,1.6857508266755339,1,8,15
Katsuwonus pelamis,2023-09-02,33.0,-17.0,1,26.0,27.6,1019.1,0.9,1.363846634093432,1,9,2
Katsuwonus pelamis,2023-09-05,20.0,-157.0,1,26.0,21.6,1015.7,0.0,1.8298463778330023,1,9,5
Katsuwonus pelamis,2023-09-08,-17.0,119.0,1,26.0,24.2,1014.7,0.0,1.8048166096546117,1,9,8
Katsuwonus pelamis,2023-11-13,6.0,80.0,1,26.0,19.6,1011.2,15.7,1.8119098917393983,1,11,13
Katsuwonus pelamis,2023-11-13,6.0,81.0,1,26.0,14.7,1011.4,23.5,1.8146231504511825,1,11,13
Katsuwonus pelamis,2023-11-24,7.0,124.0,1,26.0,16.3,1009.2,4.6,2.071247140130569,1,11,24
Katsuwonus pelamis,2023-12-18,-27.0,-109.0,1,26.0,23.9,1021.5,0.0,1.3557044142089743,1,12,18
Katsuwonus pelamis,2023-12-29,23.0,121.0,1,26.0,6.6,1022.7,0.2,1.0064969239726027,1,12,29
Thunnus alalunga,2023-01-30,-41.0,175.0,1,26.0,14.3,1020.0,0.2,1.2946007574294849,2,1,30
Thunnus alalunga,2023-02-04,-41.0,175.0,2,26.0,25.8,1017.7,3.2,3.6847938267726486,2,2,4
Thunnus alalunga,2023-02-05,-41.0,175.0,1,26.0,35.6,1010.0,20.1,1.5860125105748002,2,2,5
Thunnus alalunga,2023-02-10,-41.0,175.0,7,26.0,7.6,1018.6,0.4,7.463688502795714,2,2,10
Thunnus alalunga,2023-04-15,-41.0,175.0,2,26.0,22.0,1031.2,0.0,2.581286390244575,2,4,15
Thunnus alalunga,2023-04-21,-41.0,175.0,3,26.0,10.2,1018.3,49.0,3.8789834529389418,2,4,21
Thunnus alalunga,2023-08-08,45.0,-125.0,1,26.0,23.4,1019.1,0.5,1.5142555848403716,2,8,8
Thunnus alalunga,2023-10-14,43.0,6.0,1,26.0,35.7,1016.5,0.0,1.5281547923471828,2,10,14
Thunnus alalunga,2023-12-09,43.0,5.0,1,26.0,41.5,1017.6,1.7,1.4981398069124459,2,12,9
Thunnus albacares,2023-01-02,4.0,-82.0,1,26.0,22.7,1013.2,0.9,1.6501735439066958,0,1,2
Thunnus albacares,2023-01-02,17.0,-23.0,1,26.0,29.5,1015.5,0.0,1.784824198460008,0,1,2
Thunnus albacares,2023-01-06,-18.0,177.0,3,26.0,29.7,1009.0,13.9,5.302508614113328,0,1,6
Thunnus albacares,2023-01-15,27.0,-95.0,1,26.0,42.5,1018.9,0.0,1.1161366228426852,0,1,15
Thunnus albacares,2023-01-23,13.0,-91.0,1,26.0,16.8,1011.1,0.0,1.8807143166922284,0,1,23
Thunnus albacares,2023-01-27,19.0,-105.0,1,26.0,24.7,1013.7,0.0,1.7835393323162023,0,1,27
Thunnus albacares,2023-01-28,13.0,-91.0,1,26.0,35.7,1011.3,0.0,1.5185037011274507,0,1,28
Thunnus albacares,2023-02-19,27.0,-95.0,1,26.0,19.5,1024.4,0.0,1.4268035270900001,0,2,19
Thunnus albacares,2023-02-24,4.0,-82.0,1,26.0,23.2,1012.3,0.0,1.7933679098034976,0,2,24
Thunnus albacares,2023-02-25,4.0,-82.0,1,26.0,22.7,1011.7,0.0,1.844693233875781,0,2,25
Thunnus albacares,2023-02-26,4.0,-82.0,1,26.0,28.8,1010.8,0.0,1.53142662702165,0,2,26
Thunnus albacares,2023-03-01,19.0,-112.0,1,26.0,29.6,1015.5,0.0,1.7020493175464049,0,3,1
Thunnus albacares,2023-03-07,6.0,-77.0,1,26.0,8.1,1010.9,32.4,1.3461107685227471,0,3,7
Thunnus albacares,2023-03-09,21.0,122.0,1,26.0,32.4,1016.6,0.4,1.3208349894301652,0,3,9
Thunnus albacares,2023-03-13,4.0,-82.0,1,26.0,16.5,1012.7,0.0,1.7087286623159974,0,3,13
Thunnus albacares,2023-03-14,-13.0,45.0,1,26.0,17.7,1009.2,1.0,1.9742411966851594,0,3,14
Thunnus albacares,2023-03-15,4.0,-82.0,1,26.0,14.3,1012.6,0.3,1.6201253326460134,0,3,15
Thunnus albacares,2023-03-19,4.0,-82.0,2,26.0,17.7,1011.7,0.0,3.790483506377444,0,3,19
Thunnus albacares,2023-03-20,-13.0,45.0,1,26.0,13.9,1011.6,0.1,1.4975695342576292,0,3,20
Thunnus albacares,2023-04-04,21.0,-106.0,1,26.0,18.4,1010.6,0.0,1.6997672455021338,0,4,4
Thunnus albacares,2023-04-11,-1.0,-89.0,1,26.0,7.1,1009.9,0.0,1.4410796264324173,0,4,11
Thunnus albacares,2023-04-23,-22.0,36.0,1,26.0,26.1,1011.5,0.0,1.8379333497038917,0,4,23
Thunnus albacares,2023-05-11,22.0,-160.0,1,26.0,18.4,1018.5,4.1,1.5233506536355947,0,5,11
Thunnus albacares,2023-05-28,19.0,-156.0,1,26.0,27.1,1016.2,0.0,1.8690020852799887,0,5,28
Thunnus albacares,2023-05-29,27.0,-94.0,1,26.0,27.2,1012.7,2.1,1.6976912391627343,0,5,29
Thunnus albacares,2023-06-02,8.0,-84.0,1,26.0,21.3,1010.5,23.8,1.6806472311003149,0,6,2
Thunnus albacares,2023-06-09,-22.0,114.0,1,26.0,15.6,1016.0,0.0,1.8786963821885732,0,6,9
Thunnus albacares,2023-06-12,4.0,-82.0,3,26.0,13.6,1010.0,1.5,5.163913053803273,0,6,12
Thunnus albacares,2023-06-12,37.0,-32.0,1,26.0,46.5,1012.6,8.7,1.2253137181659783,0,6,12
Thunnus albacares,2023-06-13,4.0,-82.0,1,26.0,14.5,1009.5,19.5,1.580006917899478,0,6,13
Thunnus albacares,2023-06-14,4.0,-82.0,1,26.0,20.5,1009.7,12.0,1.6120821570997583,0,6,14
Thunnus albacares,2023-06-16,4.0,-82.0,1,26.0,15.7,1010.7,29.1,1.8245741116080647,0,6,16
Thunnus albacares,2023-06-17,4.0,-82.0,1,26.0,13.2,1010.6,9.3,1.7713638604105848,0,6,17
Thunnus albacares,2023-06-18,4.0,-82.0,1,26.0,15.0,1008.8,1.0,1.8535728031101653,0,6,18
Thunnus albacares,2023-06-29,14.0,124.0,1,26.0,22.7,1009.6,3.6,1.6859121030495199,0,6,29
Thunnus albacares,2023-06-29,38.0,-75.0,1,26.0,17.4,1016.3,0.0,1.7737809536615072,0,6,29
Thunnus albacares,2023-07-11,-3.0,1.0,1,26.0,22.3,1014.0,0.0,1.8438385590951005,0,7,11
Thunnus albacares,2023-07-14,25.0,-90.0,1,26.0,18.1,1015.1,0.0,1.7035980190419642,0,7,14
Thunnus albacares,2023-07-22,41.0,-72.0,1,26.0,14.4,1007.7,0.0,1.8185162856336117,0,7,22
Thunnus albacares,2023-07-28,6.0,-77.0,1,26.0,9.4,1011.0,23.9,1.317377775506669,0,7,28
Thunnus albacares,2023-08-06,20.0,-75.0,1,26.0,16.6,1015.7,0.0,1.6955419230152393,0,8,6
Thunnus albacares,2023-08-07,34.0,-118.0,1,26.0,18.5,1015.3,0.0,1.6927393159002506,0,8,7
Thunnus albacares,2023-08-20,-15.0,-148.0,2,26.0,22.6,1014.1,0.0,3.141248106323288,0,8,20
Thunnus albacares,2023-08-22,1.0,-92.0,1,26.0,32.3,1010.1,0.0,1.4897125387845038,0,8,22
Thunnus albacares,2023-08-29,40.0,-70.0,1,26.0,22.0,1015.0,24.7,1.6795896489695914,0,8,29
Thunnus albacares,2023-09-05,-1.0,-90.0,1,26.0,27.5,1011.7,0.1,1.751874117809153,0,9,5
Thunnus albacares,2023-09-08,-17.0,119.0,3,26.0,24.2,1014.7,0.0,5.466335996507659,0,9,8
Thunnus albacares,2023-09-09,-17.0,119.0,2,26.0,15.7,1014.3,0.0,3.6339593528089833,0,9,9
Thunnus albacares,2023-09-09,7.0,171.0,1,26.0,17.1,1009.0,2.4,1.849807766345918,0,9,9
Thunnus albacares,2023-09-10,33.0,-118.0,2,26.0,28.5,1013.5,0.2,3.470454354647173,0,9,10
Thunnus albacares,2023-09-15,41.0,-72.0,1,26.0,27.7,1016.3,0.0,1.6865052531933769,0,9,15
Thunnus albacares,2023-09-26,4.0,-29.0,1,26.0,27.4,1011.9,0.3,1.7380422683640402,0,9,26
Thunnus albacares,2023-09-27,4.0,-82.0,1,26.0,21.2,1010.4,1.7,1.4968998349062956,0,9,27
Thunnus albacares,2023-10-01,33.0,-118.0,1,26.0,27.9,1011.7,0.4,1.532933129136537,0,10,1
Thunnus albacares,2023-10-02,4.0,-82.0,1,26.0,23.0,1009.4,24.0,1.5515950581468396,0,10,2
Thunnus albacares,2023-10-08,22.0,120.0,1,26.0,34.6,1012.8,13.6,1.2670796425264443,0,10,8
Thunnus albacares,2023-10-08,26.0,-95.0,1,26.0,47.1,1017.7,0.0,1.476632800675182,0,10,8
Thunnus albacares,2023-10-09,4.0,-82.0,2,26.0,19.1,1010.2,12.6,3.2283562833919817,0,10,9
Thunnus albacares,2023-10-11,4.0,-82.0,1,26.0,23.8,1009.5,0.4,1.6932756168940915,0,10,11
Thunnus albacares,2023-10-16,33.0,-118.0,1,26.0,23.3,1015.5,0.0,1.9448842446679098,0,10,16
Thunnus albacares,2023-10-26,2.0,-92.0,1,26.0,33.0,1011.5,0.3,1.3632270710074526,0,10,26
Thunnus albacares,2023-11-04,21.0,122.0,1,26.0,28.9,1013.4,0.4,1.860627335270063,0,11,4
Thunnus albacares,2023-11-05,21.0,122.0,4,26.0,26.3,1014.0,0.0,6.439829391994074,0,11,5
Thunnus albacares,2023-11-09,-6.0,40.0,1,26.0,21.3,1011.9,6.8,1.7191843663198556,0,11,9
Thunnus albacares,2023-11-11,27.0,-94.0,1,26.0,23.9,1017.2,3.7,1.6074966917634128,0,11,11
Thunnus albacares,2023-11-17,27.0,34.0,1,26.0,23.6,1015.5,0.0,1.6991450386149156,0,11,17
Thunnus albacares,2023-11-19,28.0,-97.0,1,26.0,17.6,1013.3,0.0,1.8760462206186093,0,11,19
Thunnus albacares,2023-11-23,21.0,122.0,1,26.0,46.4,1015.0,0.0,1.1575686031878143,0,11,23
Thunnus albacares,2023-12-03,10.0,76.0,1,26.0,13.2,1008.1,1.6,1.8151635465318785,0,12,3
Thunnus albacares,2023-12-04,0.0,-91.0,1,26.0,30.1,1009.4,0.0,1.4523270070165082,0,12,4
Thunnus albacares,2023-12-15,16.0,-96.0,1,26.0,14.1,1010.7,6.8,1.6608775066454808,0,12,15
Thunnus albacares,2023-12-21,7.0,80.0,1,26.0,9.4,1010.8,1.6,1.1997579885083984,0,12,21
Thunnus albacares,2023-12-23,19.0,-105.0,1,26.0,14.3,1012.9,0.2,1.7608194261570804,0,12,23
Thunnus albacares,2023-12-24,24.0,59.0,1,26.0,21.3,1019.2,0.0,1.3372427603070962,0,12,24
Thunnus albacares,2023-12-27,12.0,-69.0,1,26.0,26.6,1012.1,0.3,1.7849014317032057,0,12,27
