species_name,event_date,grid_lat,grid_lon,activity_count,sst,wind_speed,pressure,precipitation,catch_index,species_id,month,day
Katsuwonus pelamis,2023-06-28,-17.0,-150.0,1,26.0,35.8,1014.5,0.2,1.4623742286298311,1,6,28
Katsuwonus pelamis,2023-07-11,-43.0,-64.0,4,26.0,22.2,1024.3,0.1,5.042676202922369,1,7,11
Katsuwonus pelamis,2023-07-11,-42.0,-65.0,2,26.0,13.5,1024.6,0.0,3.0584686920752704,1,7,11
Katsuwonus pelamis,2023-07-11,-42.0,-64.0,4,26.0,23.1,1024.2,0.0,6.231005496501394,1,7,11
Katsuwonus pelamis,2023-07-13,-43.0,-65.0,5,26.0,12.6,1022.1,0.0,5.620056941842955,1,7,13
Katsuwonus pelamis,2023-07-25,22.0,-159.0,1,26.0,33.0,1019.7,0.8,0.8880064073039855,1,7,25
Thunnus albacares,2023-06-02,8.0,-84.0,1,26.0,21.3,1010.5,23.8,1.7691760604750928,0,6,2
Thunnus albacares,2023-06-09,-22.0,114.0,1,26.0,15.6,1016.0,0.0,1.7025636111484628,0,6,9
Thunnus albacares,2023-06-12,4.0,-82.0,3,26.0,13.6,1010.0,1.5,5.24243947912307,0,6,12
Thunnus albacares,2023-06-12,37.0,-32.0,1,26.0,46.5,1012.6,8.7,1.2887100775306295,0,6,12
Thunnus albacares,2023-06-13,4.0,-82.0,1,26.0,14.5,1009.5,19.5,1.8819096962294242,0,6,13
Thunnus albacares,2023-06-14,4.0,-82.0,1,26.0,20.5,1009.7,12.0,1.8666687903143422,0,6,14
Thunnus albacares,2023-06-16,4.0,-82.0,1,26.0,15.7,1010.7,29.1,1.7599046046341824,0,6,16
Thunnus albacares,2023-06-17,4.0,-82.0,1,26.0,13.2,1010.6,9.3,1.919086181045205,0,6,17
Thunnus albacares,2023-06-18,4.0,-82.0,1,26.0,15.0,1008.8,1.0,1.820126401337807,0,6,18
Thunnus albacares,2023-06-29,14.0,124.0,1,26.0,22.7,1009.6,3.6,1.6211061305675143,0,6,29
Thunnus albacares,2023-06-29,38.0,-75.0,1,26.0,17.4,1016.3,0.0,1.8053126176123748,0,6,29
Thunnus albacares,2023-07-11,-3.0,1.0,1,26.0,22.3,1014.0,0.0,1.60616760987565,0,7,11
Thunnus albacares,2023-07-14,25.0,-90.0,1,26.0,18.1,1015.1,0.0,1.881767545196091,0,7,14
Thunnus albacares,2023-07-22,41.0,-72.0,1,26.0,14.4,1007.7,0.0,1.742511113352062,0,7,22
Thunnus albacares,2023-07-28,6.0,-77.0,1,26.0,9.4,1011.0,23.9,1.3889373121348774,0,7,28
