species_name,lat,lon,event_date,basis_of_record
Thunnus albacares,-17.759719,177.056935,2023-01-06,HUMAN_OBSERVATION
Thunnus albacares,-17.50787,176.990935,2023-01-06,HUMAN_OBSERVATION
Thunnus albacares,-17.773213,177.020509,2023-01-06,HUMAN_OBSERVATION
Thunnus albacares,26.671242,-94.633311,2023-01-15,HUMAN_OBSERVATION
Thunnus albacares,19.195982,-104.682574,2023-01-27,HUMAN_OBSERVATION
Thunnus albacares,13.429317,-91.373133,2023-01-23,HUMAN_OBSERVATION
Thunnus albacares,16.596538,-22.909913,2023-01-02,HUMAN_OBSERVATION
Thunnus albacares,13.076343,-91.149289,2023-01-28,HUMAN_OBSERVATION
Thunnus albacares,4.009019,-81.602572,2023-01-02,HUMAN_OBSERVATION
Thunnus albacares,26.947995,-94.697113,2023-02-19,HUMAN_OBSERVATION
Thunnus albacares,4.009019,-81.602572,2023-02-24,HUMAN_OBSERVATION
Thunnus albacares,4.004604,-81.604315,2023-02-26,HUMAN_OBSERVATION
Thunnus albacares,4.004604,-81.604315,2023-02-25,HUMAN_OBSERVATION
Thunnus albacares,20.503186,121.766741,2023-03-09,HUMAN_OBSERVATION
Thunnus albacares,19.0748,-112.0655,2023-03-01,HUMAN_OBSERVATION
Thunnus albacares,4.004604,-81.604315,2023-03-13,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-03-15,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-03-19,HUMAN_OBSERVATION
Thunnus albacares,3.993561,-81.615978,2023-03-19,HUMAN_OBSERVATION
Thunnus albacares,5.622583,-77.361167,2023-03-07,HUMAN_OBSERVATION
Thunnus albacares,-12.600364,44.924244,2023-03-20,HUMAN_OBSERVATION
Thunnus albacares,-12.546113,45.077797,2023-03-14,HUMAN_OBSERVATION
Thunnus albacares,21.039091,-106.128232,2023-04-04,HUMAN_OBSERVATION
Thunnus albacares,-0.683255,-89.240447,2023-04-11,HUMAN_OBSERVATION
Thunnus albacares,-22.14795,35.56135,2023-04-23,HUMAN_OBSERVATION
Thunnus albacares,19.426083,-155.985397,2023-05-28,HUMAN_OBSERVATION
Thunnus albacares,26.5633,-94.41333,2023-05-29,HUMAN_OBSERVATION
Thunnus albacares,21.817644,-159.634139,2023-05-11,HUMAN_OBSERVATION
Thunnus albacares,36.748725,-32.193662,2023-06-12,HUMAN_OBSERVATION
Thunnus albacares,38.333142,-75.098494,2023-06-29,HUMAN_OBSERVATION
Thunnus albacares,13.676092,123.693876,2023-06-29,HUMAN_OBSERVATION
Thunnus albacares,8.073088,-83.896176,2023-06-02,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-06-18,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-06-17,HUMAN_OBSERVATION
Thunnus albacares,4.004604,-81.604315,2023-06-13,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-06-12,HUMAN_OBSERVATION
Thunnus albacares,4.004604,-81.604315,2023-06-12,HUMAN_OBSERVATION
Thunnus albacares,4.013255,-81.606486,2023-06-12,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-06-16,HUMAN_OBSERVATION
Thunnus albacares,4.013255,-81.606486,2023-06-14,HUMAN_OBSERVATION
Thunnus albacares,-21.802542,114.226164,2023-06-09,HUMAN_OBSERVATION
Thunnus albacares,24.81998,-90.290221,2023-07-14,HUMAN_OBSERVATION
Thunnus albacares,41.323872,-71.992928,2023-07-22,HUMAN_OBSERVATION
Thunnus albacares,-3.160985,1.267817,2023-07-11,HUMAN_OBSERVATION
Thunnus albacares,6.011389,-77.353744,2023-07-28,HUMAN_OBSERVATION
Thunnus albacares,33.97173,-118.446533,2023-08-07,HUMAN_OBSERVATION
Thunnus albacares,40.083131,-70.497245,2023-08-29,HUMAN_OBSERVATION
Thunnus albacares,1.385417,-91.821825,2023-08-22,HUMAN_OBSERVATION
Thunnus albacares,-15.00889,-148.27889,2023-08-20,HUMAN_OBSERVATION
Thunnus albacares,-15.00889,-148.27889,2023-08-20,HUMAN_OBSERVATION
Thunnus albacares,19.87301,-75.141287,2023-08-06,HUMAN_OBSERVATION
Thunnus albacares,32.681342,-117.630829,2023-09-10,HUMAN_OBSERVATION
Thunnus albacares,32.681342,-117.630829,2023-09-10,HUMAN_OBSERVATION
Thunnus albacares,4.155803,-29.096575,2023-09-26,HUMAN_OBSERVATION
Thunnus albacares,7.1543,171.283619,2023-09-09,HUMAN_OBSERVATION
