species_name,lat,lon,event_date,basis_of_record
Thunnus albacares,36.748725,-32.193662,2023-06-12,HUMAN_OBSERVATION
Thunnus albacares,38.333142,-75.098494,2023-06-29,HUMAN_OBSERVATION
Thunnus albacares,13.676092,123.693876,2023-06-29,HUMAN_OBSERVATION
Thunnus albacares,8.073088,-83.896176,2023-06-02,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-06-18,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-06-17,HUMAN_OBSERVATION
Thunnus albacares,4.004604,-81.604315,2023-06-13,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-06-12,HUMAN_OBSERVATION
Thunnus albacares,4.004604,-81.604315,2023-06-12,HUMAN_OBSERVATION
Thunnus albacares,4.013255,-81.606486,2023-06-12,HUMAN_OBSERVATION
Thunnus albacares,4.000279,-81.612358,2023-06-16,HUMAN_OBSERVATION
Thunnus albacares,4.013255,-81.606486,2023-06-14,HUMAN_OBSERVATION
Thunnus albacares,-21.802542,114.226164,2023-06-09,HUMAN_OBSERVATION
Thunnus albacares,24.81998,-90.290221,2023-07-14,HUMAN_OBSERVATION
Thunnus albacares,41.323872,-71.992928,2023-07-22,HUMAN_OBSERVATION
Thunnus albacares,-3.160985,1.267817,2023-07-11,HUMAN_OBSERVATION
Thunnus albacares,6.011389,-77.353744,2023-07-28,HUMAN_OBSERVATION
Katsuwonus pelamis,-17.434554,-149.89005,2023-06-28,HUMAN_OBSERVATION
Katsuwonus pelamis,-42.639334,-64.943524,2023-07-13,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.50833,-64.642164,2023-07-13,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.521487,-63.603018,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.460769,-63.611578,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.50833,-64.642164,2023-07-13,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.460769,-63.611578,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.521487,-63.603018,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.460769,-63.611578,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.423546,-64.612384,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.521487,-63.603018,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.639334,-64.943524,2023-07-13,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.460769,-63.611578,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.50833,-64.642164,2023-07-13,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.423546,-64.612384,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,-42.521487,-63.603018,2023-07-11,MACHINE_OBSERVATION
Katsuwonus pelamis,21.941028,-159.299418,2023-07-25,HUMAN_OBSERVATION
